#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
806 , 728545 , 50.40249 , 10.61226 , 17.85796 , 267.86945 , 8.43752 , 3.18368 , 0.00000 , 53.57389 , 5.24461 , 1.00000 , 0.97422 , 16.94752
807 , 448884 , 207.74077 , 10.43292 , 12.26855 , 184.02818 , 28.35989 , 3.12988 , 0.00000 , 36.80564 , 0.86157 , 1.00000 , 0.86420 , 18.03317
808 , 576179 , 69.59649 , 7.58129 , 7.15380 , 107.30702 , 96.42075 , 2.27439 , 0.00000 , 21.46140 , 2.67435 , 1.00000 , 0.93532 , 17.76250
809 , 799349 , 140.08113 , 5.36516 , 7.51772 , 112.76578 , 94.81458 , 1.60955 , 0.00000 , 22.55316 , 4.80261 , 1.00000 , 0.84840 , 15.69988
810 , 492214 , 334.23265 , 10.28755 , 9.24720 , 138.70806 , 72.30364 , 3.08626 , 0.00000 , 27.74161 , 0.04848 , 1.00000 , 0.89136 , 17.08229
811 , 717330 , 195.03448 , 12.82368 , 19.32150 , 289.82246 , 44.41577 , 3.84710 , 0.00000 , 57.96449 , 5.53969 , 1.00000 , 0.85090 , 15.54713
812 , 780810 , 155.50410 , 11.85646 , 17.20065 , 258.00980 , 90.51838 , 3.55694 , 0.00000 , 51.60196 , 2.66169 , 1.00000 , 0.96380 , 16.98745
813 , 582822 , 205.17452 , 6.57460 , 17.30233 , 259.53488 , 58.83760 , 1.97238 , 0.00000 , 51.90698 , 2.60919 , 1.00000 , 0.86764 , 17.11754
814 , 68000 , 243.07203 , 11.66293 , 10.44842 , 156.72624 , 41.14863 , 3.49888 , 0.00000 , 31.34525 , 5.39681 , 1.00000 , 0.86341 , 16.35174
815 , 888895 , 194.74901 , 6.76713 , 18.61263 , 279.18942 , 56.48461 , 2.03014 , 0.00000 , 55.83788 , 3.00447 , 1.00000 , 0.84736 , 16.15148
816 , 763821 , 24.26183 , 9.20541 , 17.66471 , 264.97071 , 1.96104 , 2.76162 , 0.00000 , 52.99414 , 4.07056 , 1.00000 , 0.97145 , 14.65840
817 , 709653 , 198.10911 , 9.47321 , 7.96214 , 119.43213 , 44.08087 , 2.84196 , 0.00000 , 23.88643 , 5.48628 , 1.00000 , 0.97557 , 16.01808
818 , 432907 , 31.15847 , 8.62974 , 6.91534 , 103.73014 , 78.66878 , 2.58892 , 0.00000 , 20.74603 , 5.48363 , 1.00000 , 0.95059 , 16.48556
819 , 77696 , 14.97125 , 8.66136 , 17.04312 , 255.64682 , 81.01530 , 2.59841 , 0.00000 , 51.12936 , 2.29136 , 1.00000 , 0.85458 , 17.46443
820 , 940873 , 240.10245 , 6.90556 , 13.62362 , 204.35435 , 15.64956 , 2.07167 , 0.00000 , 40.87087 , 5.50109 , 2.00000 , 0.94448 , 15.54298
821 , 768812 , 310.02167 , 12.53432 , 10.79572 , 161.93575 , 41.72944 , 3.76029 , 0.00000 , 32.38715 , 2.53259 , 2.00000 , 0.96467 , 15.18100
822 , 95472 , 110.57797 , 10.09194 , 18.83390 , 282.50851 , 6.34781 , 3.02758 , 0.00000 , 56.50170 , 3.53761 , 2.00000 , 0.89174 , 16.63931
823 , 57452 , 85.60680 , 11.95465 , 10.85398 , 162.80965 , 71.98226 , 3.58640 , 0.00000 , 32.56193 , 5.09030 , 2.00000 , 0.88761 , 17.48857
824 , 525016 , 162.89471 , 7.92364 , 7.55007 , 113.25098 , 61.89100 , 2.37709 , 0.00000 , 22.65020 , 5.68908 , 2.00000 , 0.93151 , 15.82647
825 , 934151 , 57.24198 , 9.77725 , 15.65864 , 234.87955 , 81.05619 , 2.93317 , 0.00000 , 46.97591 , 2.44445 , 2.00000 , 0.97423 , 16.42352
826 , 680874 , 128.98900 , 9.84638 , 15.95465 , 239.31981 , 7.95715 , 2.95391 , 0.00000 , 47.86396 , 4.34289 , 2.00000 , 0.87687 , 19.51950
827 , 469025 , 28.11514 , 7.63203 , 17.01073 , 255.16092 , 85.18782 , 2.28961 , 0.00000 , 51.03218 , 2.95599 , 2.00000 , 0.85062 , 17.75594
828 , 293617 , 276.12047 , 13.02604 , 10.87501 , 163.12512 , 77.58582 , 3.90781 , 0.00000 , 32.62502 , 1.72561 , 2.00000 , 0.87163 , 16.63345
829 , 781201 , 158.96199 , 12.39268 , 12.39084 , 185.86265 , 74.15686 , 3.71780 , 0.00000 , 37.17253 , 0.97440 , 2.00000 , 0.98969 , 16.32744
830 , 909466 , 53.14890 , 7.67259 , 17.87148 , 268.07219 , 90.33568 , 2.30178 , 0.00000 , 53.61444 , 3.20583 , 2.00000 , 0.94292 , 14.30317
831 , 585445 , 48.06883 , 9.17267 , 17.35877 , 260.38162 , 31.73281 , 2.75180 , 0.00000 , 52.07632 , 0.00965 , 2.00000 , 0.97191 , 17.08101
832 , 650759 , 45.55022 , 10.52427 , 8.95292 , 134.29376 , 8.65945 , 3.15728 , 0.00000 , 26.85875 , 0.70252 , 2.00000 , 0.95686 , 17.45866
833 , 947184 , 384.87839 , 9.30280 , 7.53278 , 112.99168 , 19.51746 , 2.79084 , 0.00000 , 22.59834 , 2.38360 , 2.00000 , 0.98558 , 16.67643
834 , 380202 , 18.29235 , 13.52104 , 12.77006 , 191.55088 , 59.01096 , 4.05631 , 0.00000 , 38.31018 , 3.66547 , 2.00000 , 0.97984 , 18.06149
835 , 446427 , 253.68155 , 11.00221 , 6.72005 , 100.80075 , 16.44395 , 3.30066 , 0.00000 , 20.16015 , 2.90358 , 2.00000 , 0.84548 , 17.54305
836 , 80107 , 31.00679 , 8.16183 , 12.70200 , 190.53000 , 27.84699 , 2.44855 , 0.00000 , 38.10600 , 4.53126 , 2.00000 , 0.91658 , 17.42838
837 , 202345 , 196.29190 , 10.85560 , 10.43502 , 156.52531 , 22.33796 , 3.25668 , 0.00000 , 31.30506 , 3.18427 , 2.00000 , 0.93897 , 17.57653
838 , 643834 , 143.07509 , 9.66642 , 19.13141 , 286.97109 , 1.54071 , 2.89993 , 0.00000 , 57.39422 , 3.67918 , 2.00000 , 0.89279 , 17.39794
839 , 224265 , 197.06719 , 9.59979 , 16.92292 , 253.84377 , 82.32993 , 2.87994 , 0.00000 , 50.76875 , 1.58576 , 2.00000 , 0.89496 , 16.68752
840 , 241626 , 168.52203 , 11.33301 , 17.81849 , 267.27730 , 63.95358 , 3.39990 , 0.00000 , 53.45546 , 0.68695 , 3.00000 , 0.94594 , 17.32370
841 , 658042 , 142.99743 , 11.00233 , 18.28442 , 274.26623 , 38.18419 , 3.30070 , 0.00000 , 54.85325 , 1.34536 , 3.00000 , 0.96513 , 15.54592
842 , 717418 , 164.81584 , 6.72085 , 7.31551 , 109.73260 , 13.25906 , 2.01626 , 0.00000 , 21.94652 , 0.72360 , 3.00000 , 0.97645 , 15.54078
843 , 990241 , 294.56564 , 11.40644 , 12.52958 , 187.94374 , 71.66336 , 3.42193 , 0.00000 , 37.58875 , 5.55589 , 3.00000 , 0.86786 , 16.98181
844 , 72221 , 14.08562 , 11.75051 , 17.84191 , 267.62858 , 16.60321 , 3.52515 , 0.00000 , 53.52572 , 4.87888 , 3.00000 , 0.89782 , 15.31776
845 , 648294 , 179.30191 , 11.59963 , 19.93304 , 298.99557 , 89.00167 , 3.47989 , 0.00000 , 59.79911 , 0.67251 , 3.00000 , 0.92761 , 17.19747
846 , 887054 , 29.20501 , 10.81882 , 16.78830 , 251.82450 , 73.99643 , 3.24564 , 0.00000 , 50.36490 , 0.52893 , 3.00000 , 0.95005 , 17.55489
847 , 406956 , 144.96903 , 8.52236 , 19.57743 , 293.66145 , 22.52537 , 2.55671 , 0.00000 , 58.73229 , 3.30845 , 3.00000 , 0.86416 , 16.49522
848 , 196045 , 121.83180 , 9.74341 , 9.12002 , 136.80033 , 96.27774 , 2.92302 , 0.00000 , 27.36007 , 5.39207 , 3.00000 , 0.87590 , 18.62632
849 , 56305 , 286.47192 , 11.62471 , 14.11210 , 211.68144 , 43.84352 , 3.48741 , 0.00000 , 42.33629 , 3.53797 , 3.00000 , 0.84579 , 16.77844
850 , 205615 , 104.91486 , 11.42658 , 13.06453 , 195.96797 , 23.30917 , 3.42797 , 0.00000 , 39.19359 , 2.97462 , 3.00000 , 0.86788 , 17.59391
851 , 492472 , 113.52729 , 9.03845 , 7.16132 , 107.41982 , 57.95211 , 2.71153 , 0.00000 , 21.48396 , 1.85013 , 3.00000 , 0.85779 , 17.15540
852 , 565417 , 321.11072 , 9.68922 , 10.61149 , 159.17229 , 16.11165 , 2.90677 , 0.00000 , 31.83446 , 1.84303 , 3.00000 , 0.84951 , 17.06586
853 , 371417 , 237.71403 , 10.76116 , 8.67593 , 130.13892 , 63.58912 , 3.22835 , 0.00000 , 26.02778 , 5.16003 , 3.00000 , 0.87894 , 16.57886
854 , 948233 , 311.23863 , 8.61704 , 9.52761 , 142.91413 , 87.76514 , 2.58511 , 0.00000 , 28.58283 , 5.64165 , 3.00000 , 0.84487 , 18.50957
855 , 98985 , 304.34769 , 11.63924 , 12.70890 , 190.63348 , 72.05315 , 3.49177 , 0.00000 , 38.12670 , 0.22393 , 3.00000 , 0.90444 , 16.74091
856 , 221510 , 295.13595 , 9.62702 , 10.08510 , 151.27657 , 82.76267 , 2.88811 , 0.00000 , 30.25531 , 6.18247 , 3.00000 , 0.98892 , 17.80215
857 , 97560 , 218.72714 , 12.17126 , 13.11362 , 196.70430 , 43.11477 , 3.65138 , 0.00000 , 39.34086 , 4.53655 , 3.00000 , 0.87165 , 16.21924
858 , 75331 , 29.05341 , 11.16136 , 16.63272 , 249.49078 , 10.73649 , 3.34841 , 0.00000 , 49.89816 , 1.29520 , 3.00000 , 0.93422 , 16.99925
859 , 474244 , 228.68975 , 8.98960 , 10.03793 , 150.56898 , 73.37951 , 2.69688 , 0.00000 , 30.11380 , 5.62781 , 3.00000 , 0.86540 , 16.62094
860 , 837858 , 164.47872 , 12.18362 , 9.56808 , 143.52118 , 10.87174 , 3.65509 , 0.00000 , 28.70424 , 1.73868 , 4.00000 , 0.87035 , 16.66351
861 , 155800 , 60.13887 , 7.98748 , 10.14339 , 152.15086 , 8.81423 , 2.39624 , 0.00000 , 30.43017 , 2.04082 , 4.00000 , 0.86314 , 16.46562
862 , 495016 , 107.66072 , 9.75519 , 10.41694 , 156.25413 , 27.54224 , 2.92656 , 0.00000 , 31.25083 , 2.81415 , 4.00000 , 0.83185 , 16.63553
863 , 716201 , 157.53651 , 15.37266 , 14.08063 , 211.20945 , 60.28888 , 4.61180 , 0.00000 , 42.24189 , 2.93562 , 4.00000 , 0.97187 , 15.78579
864 , 874218 , 53.37440 , 12.61536 , 11.29719 , 169.45779 , 3.44524 , 3.78461 , 0.00000 , 33.89156 , 0.49156 , 4.00000 , 0.93320 , 16.97334
