#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
24042 , 230561 , 152.00000 , 2.59919 , 0.45326 , 9.93399 , 11.78540 , 176.78104 , 97.08822 , 6.95379 , 0.00000 , 11.78540 , 2.47636 , 3.00000 , 0.87619 , 15.56109
24043 , 885784 , 250.00000 , 2.70998 , 0.86070 , 10.64671 , 18.57670 , 278.65047 , 16.66479 , 7.45270 , 0.00000 , 18.57670 , 0.11740 , 3.00000 , 0.82143 , 12.36588
24044 , 17983 , 146.00000 , 1.84074 , 0.47679 , 9.71426 , 12.93190 , 193.97845 , 76.78658 , 6.79998 , 0.00000 , 12.93190 , 6.08248 , 3.00000 , 0.85683 , 18.97325
24045 , 499404 , 119.00000 , 4.59924 , 0.64728 , 7.91321 , 17.09283 , 256.39238 , 54.47277 , 5.53925 , 0.00000 , 17.09283 , 4.62196 , 3.00000 , 0.87209 , 11.73017
24046 , 831467 , 57.00000 , 3.80308 , 0.62232 , 12.65885 , 19.57273 , 293.59099 , 91.52417 , 8.86120 , 0.00000 , 19.57273 , 3.01677 , 3.00000 , 0.94857 , 22.52871
24047 , 573644 , 205.00000 , 2.71501 , 0.54769 , 10.87985 , 15.10753 , 226.61296 , 30.73728 , 7.61589 , 0.00000 , 15.10753 , 1.20565 , 3.00000 , 0.95027 , 17.15702
24048 , 303911 , 159.00000 , 2.62164 , 0.72350 , 11.28658 , 7.01424 , 105.21367 , 48.01094 , 7.90061 , 0.00000 , 7.01424 , 5.21498 , 3.00000 , 0.95875 , 14.86467
24049 , 3189 , 143.00000 , 3.05141 , 0.27474 , 10.19267 , 18.44295 , 276.64420 , 44.85094 , 7.13487 , 0.00000 , 18.44295 , 1.40369 , 3.00000 , 0.94515 , 23.10366
24050 , 818870 , 327.00000 , 3.44977 , 0.80940 , 10.46714 , 7.67887 , 115.18310 , 45.81281 , 7.32700 , 0.00000 , 7.67887 , 2.97816 , 3.00000 , 0.96891 , 9.70728
24051 , 888214 , 186.00000 , 1.10934 , 0.44082 , 9.30688 , 16.91630 , 253.74443 , 34.69778 , 6.51481 , 0.00000 , 16.91630 , 2.20682 , 3.00000 , 0.82518 , 26.05130
24052 , 392835 , 245.00000 , 4.72011 , 0.91390 , 10.91026 , 18.57900 , 278.68506 , 52.20487 , 7.63718 , 0.00000 , 18.57900 , 4.98392 , 3.00000 , 0.95117 , 17.98674
24053 , 350955 , 52.00000 , 1.69587 , 0.32900 , 12.77234 , 15.27271 , 229.09066 , 12.45786 , 8.94064 , 0.00000 , 15.27271 , 4.15991 , 3.00000 , 0.93320 , 20.25219
24054 , 879472 , 239.00000 , 2.18977 , 0.40550 , 8.11230 , 19.30966 , 289.64489 , 75.56996 , 5.67861 , 0.00000 , 19.30966 , 4.34575 , 3.00000 , 0.87014 , 23.76101
24055 , 772953 , 234.00000 , 4.13403 , 0.33167 , 12.69748 , 17.58915 , 263.83730 , 46.66433 , 8.88824 , 0.00000 , 17.58915 , 2.44514 , 3.00000 , 0.95160 , 8.00977
24056 , 746261 , 24.00000 , 1.38596 , 0.63294 , 8.91509 , 8.31535 , 124.73026 , 25.04639 , 6.24056 , 0.00000 , 8.31535 , 3.60602 , 3.00000 , 0.98735 , 11.75712
24057 , 893191 , 116.00000 , 3.40463 , 0.62135 , 7.26805 , 14.06381 , 210.95713 , 98.61320 , 5.08763 , 0.00000 , 14.06381 , 5.58169 , 3.00000 , 0.89445 , 15.95270
24058 , 402223 , 254.00000 , 2.47572 , 0.37248 , 11.70783 , 9.83376 , 147.50634 , 44.26813 , 8.19548 , 0.00000 , 9.83376 , 4.01023 , 3.00000 , 0.96444 , 20.67936
24059 , 947460 , 141.00000 , 2.25202 , 0.82232 , 6.97654 , 16.84944 , 252.74166 , 51.35528 , 4.88358 , 0.00000 , 16.84944 , 2.06606 , 3.00000 , 0.99000 , 27.15782
24060 , 721391 , 321.00000 , 4.23250 , 0.42143 , 8.28428 , 7.60095 , 114.01420 , 88.68977 , 5.79900 , 0.00000 , 7.60095 , 4.63068 , 4.00000 , 0.87473 , 16.98147
24061 , 425263 , 159.00000 , 1.69454 , 0.97905 , 9.64216 , 8.02211 , 120.33160 , 0.33094 , 6.74951 , 0.00000 , 8.02211 , 4.71383 , 4.00000 , 0.84497 , 20.23585
24062 , 91959 , 127.00000 , 4.73987 , 0.89615 , 6.69712 , 17.62275 , 264.34130 , 37.21915 , 4.68798 , 0.00000 , 17.62275 , 5.51909 , 4.00000 , 0.87576 , 17.04340
24063 , 189173 , 253.00000 , 2.10929 , 0.65246 , 10.87600 , 10.95642 , 164.34630 , 33.49251 , 7.61320 , 0.00000 , 10.95642 , 2.96971 , 4.00000 , 0.97752 , 19.97686
24064 , 434394 , 126.00000 , 2.74032 , 0.96489 , 7.57283 , 19.35367 , 290.30511 , 81.57258 , 5.30098 , 0.00000 , 19.35367 , 0.47815 , 4.00000 , 0.92194 , 12.20675
24065 , 835419 , 172.00000 , 3.58395 , 0.50276 , 11.86990 , 14.17008 , 212.55127 , 49.95562 , 8.30893 , 0.00000 , 14.17008 , 2.93077 , 4.00000 , 0.82378 , 9.96546
24066 , 753563 , 86.00000 , 4.03716 , 0.53241 , 9.98258 , 11.32509 , 169.87630 , 91.78583 , 6.98781 , 0.00000 , 11.32509 , 2.33154 , 4.00000 , 0.82950 , 18.14552
24067 , 710727 , 198.00000 , 2.34917 , 0.83240 , 10.17060 , 8.73886 , 131.08291 , 31.17846 , 7.11942 , 0.00000 , 8.73886 , 5.21016 , 4.00000 , 0.90288 , 16.86373
24068 , 701609 , 141.00000 , 3.82877 , 0.91623 , 11.61506 , 17.66821 , 265.02322 , 4.81355 , 8.13054 , 0.00000 , 17.66821 , 5.43919 , 4.00000 , 0.93148 , 15.72949
24069 , 352631 , 96.00000 , 3.34055 , 0.43938 , 11.06019 , 10.21288 , 153.19315 , 24.80625 , 7.74213 , 0.00000 , 10.21288 , 2.77970 , 4.00000 , 0.94270 , 17.12000
24070 , 885281 , 337.00000 , 2.64756 , 0.68924 , 10.97803 , 10.12351 , 151.85266 , 5.96669 , 7.68462 , 0.00000 , 10.12351 , 3.90243 , 4.00000 , 0.86866 , 20.87770
24071 , 405270 , 220.00000 , 1.24278 , 0.56842 , 9.69309 , 10.07329 , 151.09930 , 86.33053 , 6.78517 , 0.00000 , 10.07329 , 4.86065 , 4.00000 , 0.87611 , 21.40686
24072 , 205299 , 153.00000 , 2.54479 , 0.74773 , 13.07544 , 9.43268 , 141.49013 , 68.56556 , 9.15281 , 0.00000 , 9.43268 , 6.05138 , 4.00000 , 0.87634 , 9.44452
24073 , 792662 , 249.00000 , 3.98422 , 0.95445 , 9.91796 , 10.17828 , 152.67420 , 15.75172 , 6.94257 , 0.00000 , 10.17828 , 4.32546 , 4.00000 , 0.98086 , 16.34456
24074 , 475080 , 172.00000 , 4.74445 , 0.28073 , 8.86578 , 7.55879 , 113.38183 , 20.67421 , 6.20605 , 0.00000 , 7.55879 , 4.28853 , 4.00000 , 0.90723 , 29.96830
24075 , 501764 , 374.00000 , 2.74939 , 0.83638 , 10.31579 , 7.63778 , 114.56664 , 71.16355 , 7.22105 , 0.00000 , 7.63778 , 3.25677 , 4.00000 , 0.98600 , 16.39248
24076 , 119688 , 78.00000 , 1.37431 , 0.39283 , 11.06617 , 15.41219 , 231.18290 , 75.74041 , 7.74632 , 0.00000 , 15.41219 , 3.85715 , 4.00000 , 0.86898 , 16.08067
24077 , 287679 , 193.00000 , 1.89131 , 0.49782 , 9.13762 , 10.91028 , 163.65414 , 9.15804 , 6.39633 , 0.00000 , 10.91028 , 4.82219 , 4.00000 , 0.83030 , 19.13269
24078 , 127497 , 231.00000 , 3.46139 , 0.81831 , 9.19563 , 14.12221 , 211.83313 , 31.24635 , 6.43694 , 0.00000 , 14.12221 , 4.84546 , 4.00000 , 0.84197 , 15.84227
24079 , 738362 , 36.00000 , 4.67619 , 0.33992 , 10.23846 , 10.81608 , 162.24123 , 33.29869 , 7.16692 , 0.00000 , 10.81608 , 2.00705 , 4.00000 , 0.82510 , 10.31241
24080 , 160942 , 57.00000 , 3.14830 , 0.84237 , 11.97984 , 11.60644 , 174.09657 , 82.85777 , 8.38589 , 0.00000 , 11.60644 , 0.39344 , 5.00000 , 0.85192 , 20.42708
24081 , 603921 , 170.00000 , 3.96228 , 0.57416 , 8.25984 , 14.65836 , 219.87544 , 12.95713 , 5.78189 , 0.00000 , 14.65836 , 2.71038 , 5.00000 , 0.98045 , 17.71868
24082 , 974198 , 274.00000 , 3.54776 , 0.91435 , 9.91860 , 10.44910 , 156.73653 , 94.38129 , 6.94302 , 0.00000 , 10.44910 , 0.89170 , 5.00000 , 0.83122 , 17.42278
24083 , 199501 , 355.00000 , 1.67580 , 0.42479 , 10.95974 , 6.71497 , 100.72460 , 30.99823 , 7.67182 , 0.00000 , 6.71497 , 2.70342 , 5.00000 , 0.93937 , 19.07965
24084 , 855385 , 115.00000 , 3.61506 , 0.67634 , 10.20396 , 7.43100 , 111.46507 , 18.14361 , 7.14277 , 0.00000 , 7.43100 , 1.84914 , 5.00000 , 0.89971 , 14.25346
24085 , 18094 , 298.00000 , 2.82510 , 0.34792 , 11.75033 , 13.73724 , 206.05863 , 7.69259 , 8.22523 , 0.00000 , 13.73724 , 0.05721 , 5.00000 , 0.98765 , 7.01654
24086 , 632037 , 322.00000 , 4.72761 , 0.33990 , 10.80619 , 13.23101 , 198.46514 , 84.13513 , 7.56433 , 0.00000 , 13.23101 , 1.73316 , 5.00000 , 0.97707 , 11.64613
24087 , 567070 , 156.00000 , 2.61453 , 0.92888 , 8.68601 , 10.21338 , 153.20077 , 84.41952 , 6.08020 , 0.00000 , 10.21338 , 4.32071 , 5.00000 , 0.87425 , 17.04912
24088 , 775239 , 118.00000 , 4.49296 , 0.57295 , 12.25733 , 7.63030 , 114.45444 , 16.39574 , 8.58013 , 0.00000 , 7.63030 , 1.57694 , 5.00000 , 0.92294 , 6.47120
24089 , 195463 , 228.00000 , 4.79838 , 0.93670 , 9.81450 , 14.89787 , 223.46809 , 62.25433 , 6.87015 , 0.00000 , 14.89787 , 5.70364 , 5.00000 , 0.96134 , 21.73171
24090 , 715132 , 304.00000 , 3.63379 , 0.32503 , 10.04599 , 8.29698 , 124.45468 , 23.94641 , 7.03219 , 0.00000 , 8.29698 , 1.83705 , 5.00000 , 0.85500 , 16.08579
24091 , 855397 , 115.00000 , 1.93542 , 0.30695 , 8.95244 , 12.46711 , 187.00663 , 92.62143 , 6.26671 , 0.00000 , 12.46711 , 2.00341 , 5.00000 , 0.95733 , 15.52813
24092 , 852740 , 117.00000 , 4.43410 , 0.38679 , 8.74709 , 10.92804 , 163.92059 , 50.31056 , 6.12296 , 0.00000 , 10.92804 , 4.05993 , 5.00000 , 0.96718 , 19.25648
24093 , 719451 , 34.00000 , 1.43591 , 0.37362 , 11.07801 , 13.09434 , 196.41506 , 82.49040 , 7.75461 , 0.00000 , 13.09434 , 5.26027 , 5.00000 , 0.89552 , 23.99780
24094 , 36226 , 55.00000 , 2.58893 , 0.30017 , 7.85988 , 9.79815 , 146.97228 , 98.92253 , 5.50192 , 0.00000 , 9.79815 , 0.42757 , 5.00000 , 0.95345 , 22.44096
24095 , 46819 , 271.00000 , 1.23080 , 0.50769 , 9.58610 , 7.72103 , 115.81546 , 56.90686 , 6.71027 , 0.00000 , 7.72103 , 3.70964 , 5.00000 , 0.91747 , 16.94585
24096 , 481477 , 258.00000 , 2.16327 , 0.39655 , 10.93889 , 6.94189 , 104.12832 , 12.41897 , 7.65723 , 0.00000 , 6.94189 , 5.97723 , 5.00000 , 0.84074 , 20.91081
24097 , 569029 , 320.00000 , 4.47854 , 0.27585 , 12.03730 , 15.12533 , 226.88000 , 2.41551 , 8.42611 , 0.00000 , 15.12533 , 3.37392 , 5.00000 , 0.97198 , 15.80276
24098 , 24495 , 386.00000 , 4.60773 , 0.64906 , 12.58836 , 6.68355 , 100.25318 , 19.62435 , 8.81185 , 0.00000 , 6.68355 , 6.13583 , 5.00000 , 0.96326 , 23.73147
24099 , 175321 , 171.00000 , 2.98651 , 0.89599 , 11.06172 , 19.77439 , 296.61582 , 28.11544 , 7.74320 , 0.00000 , 19.77439 , 0.20239 , 5.00000 , 0.95428 , 15.93170
24100 , 262687 , 82.00000 , 2.76005 , 0.35257 , 10.93120 , 17.60308 , 264.04619 , 14.91690 , 5.46560 , 0.00000 , 17.60308 , 5.19894 , 1.00000 , 0.83552 , 25.60660
24101 , 582678 , 50.00000 , 2.19233 , 0.34260 , 10.99108 , 10.41563 , 156.23450 , 34.28576 , 5.49554 , 0.00000 , 10.41563 , 4.51402 , 1.00000 , 0.84285 , 21.91721
