#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
21071 , 634030 , 112.00000 , 1.49780 , 0.53146 , 9.37838 , 19.85050 , 297.75744 , 48.67801 , 6.56487 , 0.00000 , 19.85050 , 1.62226 , 4.00000 , 0.82345 , 18.91713
21072 , 151818 , 186.00000 , 1.41372 , 0.36205 , 10.47675 , 14.21121 , 213.16816 , 42.72689 , 7.33372 , 0.00000 , 14.21121 , 3.78533 , 4.00000 , 0.98878 , 22.74144
21073 , 414456 , 38.00000 , 3.76996 , 0.68619 , 10.55865 , 11.19787 , 167.96809 , 1.82299 , 7.39106 , 0.00000 , 11.19787 , 3.63658 , 4.00000 , 0.88596 , 25.55044
21074 , 253200 , 213.00000 , 3.82396 , 0.40300 , 9.93850 , 10.37469 , 155.62031 , 65.46824 , 6.95695 , 0.00000 , 10.37469 , 2.86528 , 4.00000 , 0.88336 , 13.74791
21075 , 623924 , 116.00000 , 3.01845 , 0.34957 , 12.16275 , 17.07182 , 256.07732 , 5.08742 , 8.51392 , 0.00000 , 17.07182 , 2.64084 , 4.00000 , 0.98492 , 14.55197
21076 , 857445 , 141.00000 , 2.15903 , 0.91753 , 11.66355 , 7.58412 , 113.76185 , 51.62498 , 8.16449 , 0.00000 , 7.58412 , 2.92802 , 4.00000 , 0.87558 , 17.50027
21077 , 793505 , 270.00000 , 4.84343 , 0.81424 , 15.02433 , 9.05122 , 135.76835 , 31.02049 , 10.51703 , 0.00000 , 9.05122 , 4.04074 , 4.00000 , 0.97516 , 9.21314
21078 , 166579 , 151.00000 , 1.34589 , 0.79604 , 10.66582 , 10.72489 , 160.87333 , 78.44142 , 7.46607 , 0.00000 , 10.72489 , 4.35079 , 4.00000 , 0.89614 , 14.65986
21079 , 141262 , 269.00000 , 1.47317 , 0.55331 , 7.81740 , 10.88532 , 163.27975 , 73.98855 , 5.47218 , 0.00000 , 10.88532 , 2.73042 , 4.00000 , 0.88553 , 27.29597
21080 , 698668 , 245.00000 , 1.50225 , 0.69800 , 8.16396 , 17.83063 , 267.45944 , 32.45940 , 5.71477 , 0.00000 , 17.83063 , 5.55302 , 5.00000 , 0.82312 , 13.37260
21081 , 116417 , 225.00000 , 2.48273 , 0.65792 , 9.24782 , 10.50485 , 157.57276 , 39.28415 , 6.47347 , 0.00000 , 10.50485 , 0.14612 , 5.00000 , 0.83515 , 13.10337
21082 , 24440 , 107.00000 , 2.47909 , 0.93232 , 9.22100 , 15.22055 , 228.30828 , 65.72104 , 6.45470 , 0.00000 , 15.22055 , 1.16889 , 5.00000 , 0.89515 , 10.22185
21083 , 313228 , 107.00000 , 3.57769 , 0.80937 , 9.18106 , 17.30154 , 259.52315 , 75.91991 , 6.42674 , 0.00000 , 17.30154 , 2.33804 , 5.00000 , 0.92621 , 15.93392
21084 , 52281 , 122.00000 , 4.78477 , 0.51408 , 13.27989 , 9.51936 , 142.79040 , 70.51874 , 9.29592 , 0.00000 , 9.51936 , 5.55626 , 5.00000 , 0.82294 , 21.06561
21085 , 398023 , 111.00000 , 1.20378 , 0.53048 , 12.95155 , 16.20621 , 243.09320 , 8.25195 , 9.06609 , 0.00000 , 16.20621 , 1.22739 , 5.00000 , 0.89918 , 15.67205
21086 , 837596 , 313.00000 , 2.80486 , 0.69460 , 10.36588 , 11.72865 , 175.92973 , 75.23560 , 7.25611 , 0.00000 , 11.72865 , 1.43081 , 5.00000 , 0.95080 , 6.19953
21087 , 321036 , 54.00000 , 4.50870 , 0.79140 , 7.47381 , 10.51102 , 157.66526 , 18.76612 , 5.23167 , 0.00000 , 10.51102 , 2.25552 , 5.00000 , 0.86935 , 10.80951
21088 , 293116 , 142.00000 , 3.42628 , 0.76133 , 7.48259 , 18.05829 , 270.87439 , 23.28420 , 5.23781 , 0.00000 , 18.05829 , 3.54988 , 5.00000 , 0.97995 , 18.38543
21089 , 113229 , 340.00000 , 2.86258 , 0.75078 , 13.83038 , 12.08231 , 181.23472 , 12.70060 , 9.68127 , 0.00000 , 12.08231 , 1.51364 , 5.00000 , 0.94354 , 7.69440
21090 , 86132 , 139.00000 , 3.54149 , 0.39176 , 10.68120 , 16.13932 , 242.08975 , 83.53478 , 7.47684 , 0.00000 , 16.13932 , 4.32188 , 5.00000 , 0.84374 , 11.00207
21091 , 219823 , 228.00000 , 2.27881 , 0.94707 , 9.65212 , 12.86674 , 193.00111 , 16.74717 , 6.75648 , 0.00000 , 12.86674 , 0.51729 , 5.00000 , 0.85506 , 20.47011
21092 , 865234 , 206.00000 , 4.00936 , 0.42545 , 7.83575 , 7.04773 , 105.71594 , 77.95811 , 5.48503 , 0.00000 , 7.04773 , 6.24096 , 5.00000 , 0.96039 , 18.36376
21093 , 312950 , 50.00000 , 3.09636 , 0.26433 , 6.58253 , 16.86256 , 252.93838 , 87.73271 , 4.60777 , 0.00000 , 16.86256 , 4.35093 , 5.00000 , 0.95780 , 20.12275
21094 , 706862 , 217.00000 , 1.30601 , 0.65996 , 8.45834 , 11.69295 , 175.39418 , 36.20643 , 5.92084 , 0.00000 , 11.69295 , 2.59710 , 5.00000 , 0.83394 , 16.41352
21095 , 253088 , 122.00000 , 2.24885 , 0.77930 , 8.61064 , 11.12313 , 166.84696 , 51.73731 , 6.02745 , 0.00000 , 11.12313 , 3.45147 , 5.00000 , 0.92205 , 15.46555
21096 , 871608 , 97.00000 , 1.84180 , 0.33134 , 11.77820 , 13.05571 , 195.83572 , 19.23538 , 8.24474 , 0.00000 , 13.05571 , 0.50343 , 5.00000 , 0.81499 , 13.57761
21097 , 917139 , 327.00000 , 3.10324 , 0.34124 , 13.49711 , 10.99228 , 164.88420 , 88.52485 , 9.44798 , 0.00000 , 10.99228 , 2.76699 , 5.00000 , 0.98362 , 21.27561
