#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9061 , 411311 , 123.22596 , 9.74529 , 1.70028 , 11.66282 , 223.42451 , 7.37264 , 14.89497 ,  , 6.82170 , 0.00000 , 14.89497 , 3.62013 , 4.00000 , 0.81378 , 17.09345 , quad , 9.27144 , 218.12241 
9062 , 917837 , 203.38272 , 11.69156 , 1.20654 , 15.42096 , 296.58035 , 19.13103 , 19.77202 ,  , 8.18409 , 0.00000 , 19.77202 , 1.81280 , 4.00000 , 0.94785 , 18.14701 , quad , 10.82698 , 289.68477 
9063 , 999685 , 166.78180 , 9.61817 , 2.38749 , 9.75599 , 226.23183 , 23.52812 , 15.08212 ,  , 6.73272 , 0.00000 , 15.08212 , 5.87228 , 4.00000 , 0.86182 , 17.40066 , quad , 0.79365 , 333.13625 
9064 , 712093 , 139.34117 , 14.22949 , 1.51513 , 12.49239 , 283.26590 , 65.81672 , 18.88439 ,  , 9.96064 , 0.00000 , 18.88439 , 3.64287 , 4.00000 , 0.89143 , 18.40800 , quad , 11.33786 , 81.91836 
9065 , 39765 , 368.39832 , 11.79807 , 2.43980 , 9.99310 , 124.97204 , 81.58507 , 8.33147 ,  , 8.25865 , 0.00000 , 8.33147 , 1.62093 , 4.00000 , 0.94758 , 15.43549 , quad , 1.75355 , 463.54576 
9066 , 297518 , 293.97701 , 9.77325 , 2.74989 , 16.48216 , 200.96736 , 22.06259 , 13.39782 ,  , 6.84127 , 0.00000 , 13.39782 , 2.84100 , 4.00000 , 0.84462 , 17.74718 , quad , -4.33638 , 463.80186 
9067 , 338514 , 188.76617 , 10.44646 , 0.37561 , 5.12796 , 277.45256 , 85.68208 , 18.49684 ,  , 7.31252 , 0.00000 , 18.49684 , 2.80211 , 4.00000 , 0.84020 , 17.20067 , quad , 8.59566 , 221.29553 
9068 , 626275 , 209.35385 , 14.47614 , 2.43652 , 6.54818 , 234.03576 , 51.64146 , 15.60238 ,  , 10.13330 , 0.00000 , 15.60238 , 1.11468 , 4.00000 , 0.91804 , 14.14728 , quad , 4.95216 , 81.16424 
9069 , 680869 , 82.32970 , 7.21180 , 1.88503 , 10.57336 , 222.85859 , 7.50382 , 14.85724 ,  , 5.04826 , 0.00000 , 14.85724 , 2.78082 , 4.00000 , 0.90900 , 18.14617 , quad , -2.46610 , 425.19443 
9070 , 194857 , 154.12932 , 10.74102 , 2.28147 , 12.62746 , 248.56356 , 87.59091 , 16.57090 ,  , 7.51872 , 0.00000 , 16.57090 , 5.89115 , 4.00000 , 0.90987 , 16.75242 , quad , -8.33195 , 314.59802 
